frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
120.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,339,95.47968106995884,100,0,1,0,0,-30.833333333333332,61.59166666666667,0,237.9600679977334,99.15002833238891,2.039932002266591,5624,24,829
120.0,board-acceptance,stripe-1k-chip-bank,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,331,95.7175925925926,100,0,1,0,0,-28.491666666666667,59.28333333333333,0,238.56,99.4,1.44,5328,24,824
120.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,350,8.333333333333334,100,0,0,0,350,-37.3,51.6,0,235.618,98.17416666666666,4.382,6799,2,481
120.0,board-acceptance,linear,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,367,93.87860082304526,100,0,0,0,367,-44.666666666666664,58.84166666666667,0,233.984,97.49333333333334,6.016,7616,2,260
120.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,315,16.666666666666668,100,0,0,0,315,-22.775,37.083333333333336,0,239.276,99.69833333333334,0.724,4970,2,518
120.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,342,25.0,100,0,0,0,342,-32.333333333333336,46.5,0,236.99015049247538,98.74589603853141,3.0098495075246237,6107,2,521
120.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,307,8.333333333333334,100,0,0,0,307,-24.791666666666668,38.96666666666667,0,238.772,99.48833333333333,1.228,5222,2,791
120.0,board-acceptance,stripe-1k-chip-bank,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,334,16.666666666666668,100,0,0,0,334,-28.9,43.208333333333336,0,237.776,99.07333333333334,2.224,5720,2,804
120.0,board-acceptance,chip-row-bank-column,1080p8,1920,1080,8,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,27.658333333333335,18.216666666666665,0,124.8,52.0,115.2,0,23,192
120.0,board-acceptance,linear,1080p8,1920,1080,8,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,30.658333333333335,18.325,0,124.8,52.0,115.2,0,23,186
120.0,board-acceptance,row-bank-chip-column,1080p8,1920,1080,8,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,27.658333333333335,16.016666666666666,0,124.8,52.0,115.2,0,23,189
120.0,board-acceptance,row-chip-bank-column,1080p8,1920,1080,8,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,27.658333333333335,18.216666666666665,0,124.8,52.0,115.2,0,23,191
120.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,27.658333333333335,18.025,0,124.8,52.0,115.2,0,23,239
120.0,board-acceptance,stripe-1k-chip-bank,1080p8,1920,1080,8,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,27.658333333333335,16.125,0,124.8,52.0,115.2,0,23,238
120.0,board-acceptance,chip-row-bank-column,1080p8,1920,1080,8,replay,write,2048,17.066666666666666,0.0,1,0,99.58847736625515,100,0,0,1,0,30.466666666666665,0.16666666666666666,0,124.288,51.78666666666667,115.712,256,2,187
120.0,board-acceptance,linear,1080p8,1920,1080,8,replay,write,2048,17.066666666666666,0.0,1,0,99.58847736625515,100,0,0,1,0,30.541666666666668,0.09166666666666666,0,124.288,51.78666666666667,115.712,256,2,187
120.0,board-acceptance,row-bank-chip-column,1080p8,1920,1080,8,replay,write,2048,17.066666666666666,0.0,1,0,99.58847736625515,100,0,0,1,0,30.541666666666668,0.11666666666666667,0,124.288,51.78666666666667,115.712,256,2,185
