frequency_mhz,qualification,mapping,refill_grant_words,duration_us,deadline_misses,incomplete_frames,minimum_read_deadline_slack_us,dq_util_pct,effective_mb_s,writer_max_wait_us,frame_write_max_wait_us,audio_write_max_wait_us,unserved_words,dq_turnarounds,activates,command_util_pct
143,exploratory-overclock,linear,128,1000.0,0,0,34.53846153846154,77.38181818181818,221.312,24.72027972027972,24.72027972027972,0.7832167832167832,128,832,352,10.343356643356643
143,exploratory-overclock,linear,256,1000.0,0,0,32.22377622377623,77.29230769230769,221.056,23.846153846153847,23.846153846153847,0.7832167832167832,256,416,346,10.324475524475524
143,exploratory-overclock,linear,512,1000.0,0,0,27.594405594405593,77.11328671328671,220.544,22.67132867132867,22.67132867132867,0.7832167832167832,512,208,326,10.274125874125874
143,exploratory-overclock,linear,1024,1000.0,0,0,18.342657342657343,76.75524475524476,219.52,17.90909090909091,17.90909090909091,0.7832167832167832,1024,116,284,10.17062937062937
143,exploratory-overclock,row-bank-chip-column,8,1000.0,0,0,28.615384615384617,77.46573426573427,221.552,25.545454545454547,25.545454545454547,0.7832167832167832,8,12592,377,10.38881118881119
143,exploratory-overclock,row-bank-chip-column,16,1000.0,0,0,28.615384615384617,77.46013986013986,221.536,25.167832167832167,25.167832167832167,0.7832167832167832,16,6446,375,10.385314685314686
143,exploratory-overclock,row-bank-chip-column,32,1000.0,0,0,28.615384615384617,77.44895104895105,221.504,24.846153846153847,24.846153846153847,0.7832167832167832,32,3272,374,10.382517482517482
143,exploratory-overclock,row-bank-chip-column,64,1000.0,0,0,28.615384615384617,77.42657342657343,221.44,24.62937062937063,24.62937062937063,0.7832167832167832,64,1640,367,10.36993006993007
143,exploratory-overclock,row-bank-chip-column,128,1000.0,0,0,28.615384615384617,77.38181818181818,221.312,24.167832167832167,24.167832167832167,0.7832167832167832,128,826,360,10.354545454545455
143,exploratory-overclock,row-bank-chip-column,256,1000.0,0,0,28.615384615384617,77.29230769230769,221.056,23.3006993006993,23.3006993006993,0.7832167832167832,256,418,352,10.332867132867133
143,exploratory-overclock,row-bank-chip-column,512,1000.0,0,0,27.517482517482517,77.11328671328671,220.544,22.44055944055944,22.44055944055944,0.7832167832167832,512,212,333,10.283916083916084
143,exploratory-overclock,row-bank-chip-column,1024,1000.0,0,0,18.27972027972028,76.75524475524476,219.52,17.37062937062937,17.37062937062937,0.7832167832167832,1024,118,288,10.176223776223777
143,exploratory-overclock,row-chip-bank-column,8,1000.0,0,0,28.62937062937063,77.46573426573427,221.552,25.832167832167833,25.832167832167833,0.7832167832167832,8,12642,377,10.38881118881119
