frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
120.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,8156,16.5,100,0,1,0,0,-826.25,857.0333333333333,167,236.5044,98.5435,3.4956,105930,400,8739
120.0,board-acceptance,linear,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,7985,94.36467978395062,100,0,1,0,0,-924.7833333333333,955.5666666666667,0,235.19352,97.9973,4.80648,116854,400,4513
120.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,8115,15.0,100,0,1,0,0,-605.5916666666667,636.25,170,239.79756,99.91565,0.20244,78487,400,9452
120.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,7964,95.5093074845679,100,0,1,0,0,-734.0333333333333,764.7083333333334,0,238.04172,99.18405,1.95828,93119,400,8574
120.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,8140,15.0,100,0,1,0,0,-715.5833333333334,746.3416666666667,170,238.15392,99.2308,1.84608,92184,400,14607
120.0,board-acceptance,stripe-1k-chip-bank,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,7967,95.74807098765432,100,0,1,0,0,-694.3666666666667,725.0416666666666,0,238.63548204677693,99.43145085282372,1.3645179532230702,88168,400,14329
120.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,8271,16.5,100,0,0,0,7968,-860.0666666666667,874.375,303,235.89696,98.2904,4.10304,110992,2,8445
120.0,board-acceptance,linear,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,7983,94.06520061728395,100,0,0,0,7983,-972.6583333333333,986.9583333333334,0,234.44832,97.6868,5.55168,123064,342,4686
120.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,8229,17.0,100,0,0,0,7930,-588.5666666666667,602.725,299,239.95536,99.9814,0.04464,77172,4,9279
120.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,replay,write,2048,17.066666666666666,0.0,0,7956,95.49021026234568,100,0,0,0,7956,-735.125,749.3,0,237.9942,99.16425,2.0058,93515,336,8844
