frequency_mhz,qualification,mapping,refill_grant_words,duration_us,deadline_misses,incomplete_frames,minimum_read_deadline_slack_us,dq_util_pct,effective_mb_s,writer_max_wait_us,frame_write_max_wait_us,audio_write_max_wait_us,unserved_words,dq_turnarounds,activates,command_util_pct
130,board-acceptance,row-bank-chip-column,16,1000.0,0,0,27.93076923076923,85.20615384615385,221.536,29.523076923076925,29.523076923076925,0.8538461538461538,16,6302,386,11.44076923076923
130,board-acceptance,row-bank-chip-column,32,1000.0,0,0,27.93076923076923,85.19384615384615,221.504,29.246153846153845,29.246153846153845,0.8538461538461538,32,3222,385,11.437692307692307
130,board-acceptance,row-bank-chip-column,64,1000.0,0,0,27.93076923076923,85.16923076923077,221.44,29.023076923076925,29.023076923076925,0.8538461538461538,64,1622,382,11.43
130,board-acceptance,row-bank-chip-column,128,1000.0,0,0,27.93076923076923,85.12,221.312,28.515384615384615,28.515384615384615,0.8538461538461538,128,818,371,11.406923076923077
130,board-acceptance,row-bank-chip-column,256,1000.0,0,0,27.93076923076923,85.02153846153846,221.056,27.515384615384615,27.515384615384615,0.8538461538461538,256,418,364,11.384615384615385
130,board-acceptance,row-bank-chip-column,1024,1000.0,0,0,18.26923076923077,84.43076923076923,219.52,22.423076923076923,22.423076923076923,0.8538461538461538,1024,118,308,11.224615384615385
130,board-acceptance,row-chip-bank-column,512,1000.0,0,0,27.50769230769231,84.82461538461538,220.544,24.853846153846153,24.853846153846153,0.8538461538461538,512,212,344,11.329230769230769
130,board-acceptance,stripe-1k-bank-chip,8,1000.0,0,0,31.976923076923075,85.21230769230769,221.552,31.2,31.2,0.8538461538461538,8,12574,855,12.163076923076924
130,board-acceptance,stripe-1k-bank-chip,16,1000.0,0,0,31.976923076923075,85.20615384615385,221.536,30.284615384615385,30.284615384615385,0.8538461538461538,16,6406,513,11.636153846153846
130,board-acceptance,stripe-1k-bank-chip,64,1000.0,0,0,31.976923076923075,85.16923076923077,221.44,29.5,29.5,0.8538461538461538,64,1648,500,11.611538461538462
130,board-acceptance,stripe-1k-bank-chip,128,1000.0,0,0,31.976923076923075,85.12,221.312,28.93846153846154,28.93846153846154,0.8538461538461538,128,830,488,11.586923076923076
130,board-acceptance,stripe-1k-bank-chip,512,1000.0,0,0,27.49230769230769,84.82461538461538,220.544,24.815384615384616,24.815384615384616,0.8538461538461538,512,212,426,11.455384615384615
130,board-acceptance,stripe-1k-chip-bank,32,1000.0,0,0,31.976923076923075,85.19384615384615,221.504,29.692307692307693,29.692307692307693,0.8538461538461538,32,3274,511,11.631538461538462
130,board-acceptance,stripe-1k-chip-bank,64,1000.0,0,0,31.976923076923075,85.16923076923077,221.44,29.5,29.5,0.8538461538461538,64,1648,500,11.611538461538462
130,board-acceptance,stripe-1k-chip-bank,128,1000.0,0,0,31.976923076923075,85.12,221.312,28.93846153846154,28.93846153846154,0.8538461538461538,128,830,488,11.586923076923076
130,board-acceptance,stripe-1k-chip-bank,256,1000.0,0,0,31.976923076923075,85.02153846153846,221.056,27.615384615384617,27.615384615384617,0.8538461538461538,256,420,467,11.543076923076923
143,exploratory-overclock,chip-row-bank-column,8,1000.0,0,0,36.02097902097902,77.46573426573427,221.552,29.48951048951049,29.48951048951049,0.7832167832167832,8,12878,383,10.397202797202798
143,exploratory-overclock,chip-row-bank-column,16,1000.0,0,0,36.02097902097902,77.46013986013986,221.536,27.062937062937063,27.062937062937063,0.7832167832167832,16,6616,379,10.39090909090909
143,exploratory-overclock,chip-row-bank-column,32,1000.0,0,0,36.02097902097902,77.44895104895105,221.504,26.293706293706293,26.293706293706293,0.7832167832167832,32,3334,377,10.386713286713286
143,exploratory-overclock,chip-row-bank-column,64,1000.0,0,0,35.69230769230769,77.42657342657343,221.44,25.174825174825173,25.174825174825173,0.7832167832167832,64,1672,369,10.372727272727273
143,exploratory-overclock,chip-row-bank-column,128,1000.0,0,0,34.53846153846154,77.38181818181818,221.312,24.482517482517483,24.482517482517483,0.7832167832167832,128,840,363,10.358741258741258
143,exploratory-overclock,linear,8,1000.0,0,0,36.66433566433567,77.46573426573427,221.552,29.755244755244757,29.755244755244757,1.4195804195804196,8,12872,366,10.373426573426574
143,exploratory-overclock,linear,16,1000.0,0,0,36.52447552447553,77.46013986013986,221.536,27.34965034965035,27.34965034965035,1.2937062937062938,16,6614,366,10.372727272727273
143,exploratory-overclock,linear,32,1000.0,0,0,36.24475524475525,77.44895104895105,221.504,26.412587412587413,26.412587412587413,1.020979020979021,32,3328,366,10.371328671328671
143,exploratory-overclock,linear,256,1000.0,0,0,32.22377622377623,77.29230769230769,221.056,23.846153846153847,23.846153846153847,0.7832167832167832,256,416,346,10.324475524475524
143,exploratory-overclock,linear,512,1000.0,0,0,27.594405594405593,77.11328671328671,220.544,22.67132867132867,22.67132867132867,0.7832167832167832,512,208,326,10.274125874125874
143,exploratory-overclock,linear,1024,1000.0,0,0,18.342657342657343,76.75524475524476,219.52,17.90909090909091,17.90909090909091,0.7832167832167832,1024,116,284,10.17062937062937
143,exploratory-overclock,row-bank-chip-column,8,1000.0,0,0,28.615384615384617,77.46573426573427,221.552,25.545454545454547,25.545454545454547,0.7832167832167832,8,12592,377,10.38881118881119
